Rainfall - (MM), Year, Statistics, Country, ISO3
43.2, 1929, Feb Average, South Africa, ZAF
89.8, 1929, Mar Average, South Africa, ZAF
20.1, 1929, Apr Average, South Africa, ZAF
17.8, 1929, May Average, South Africa, ZAF
27.6, 1929, Jun Average, South Africa, ZAF
22.4, 1929, Jul Average, South Africa, ZAF
18.9, 1929, Aug Average, South Africa, ZAF
62.2, 1929, Sep Average, South Africa, ZAF
44.5, 1929, Oct Average, South Africa, ZAF
53.2, 1929, Nov Average, South Africa, ZAF
73.4, 1929, Dec Average, South Africa, ZAF
73.3, 1930, Jan Average, South Africa, ZAF
54.5, 1930, Feb Average, South Africa, ZAF
60.0, 1930, Mar Average, South Africa, ZAF
27.4, 1930, Apr Average, South Africa, ZAF
11.0, 1930, May Average, South Africa, ZAF
10.1, 1930, Jun Average, South Africa, ZAF
7.9, 1930, Jul Average, South Africa, ZAF
26.0, 1930, Aug Average, South Africa, ZAF
18.1, 1930, Sep Average, South Africa, ZAF
25.9, 1930, Oct Average, South Africa, ZAF
34.9, 1930, Nov Average, South Africa, ZAF
57.4, 1930, Dec Average, South Africa, ZAF
80.0, 1931, Jan Average, South Africa, ZAF
45.8, 1931, Feb Average, South Africa, ZAF
57.3, 1931, Mar Average, South Africa, ZAF
47.5, 1931, Apr Average, South Africa, ZAF
4.0, 1931, May Average, South Africa, ZAF
4.6, 1931, Jun Average, South Africa, ZAF
32.2, 1931, Jul Average, South Africa, ZAF
9.3, 1931, Aug Average, South Africa, ZAF
8.4, 1931, Sep Average, South Africa, ZAF
40.2, 1931, Oct Average, South Africa, ZAF
59.5, 1931, Nov Average, South Africa, ZAF
55.0, 1931, Dec Average, South Africa, ZAF
42.3, 1932, Jan Average, South Africa, ZAF
80.4, 1932, Feb Average, South Africa, ZAF
57.7, 1932, Mar Average, South Africa, ZAF
17.7, 1932, Apr Average, South Africa, ZAF
25.3, 1932, May Average, South Africa, ZAF
12.2, 1932, Jun Average, South Africa, ZAF
9.4, 1932, Jul Average, South Africa, ZAF
4.1, 1932, Aug Average, South Africa, ZAF
37.2, 1932, Sep Average, South Africa, ZAF
27.3, 1932, Oct Average, South Africa, ZAF
44.5, 1932, Nov Average, South Africa, ZAF
56.8, 1932, Dec Average, South Africa, ZAF
43.5, 1933, Jan Average, South Africa, ZAF
32.7, 1933, Feb Average, South Africa, ZAF
43.8, 1933, Mar Average, South Africa, ZAF
24.0, 1933, Apr Average, South Africa, ZAF
6.9, 1933, May Average, South Africa, ZAF
12.9, 1933, Jun Average, South Africa, ZAF
12.2, 1933, Jul Average, South Africa, ZAF
16.4, 1933, Aug Average, South Africa, ZAF
8.5, 1933, Sep Average, South Africa, ZAF
12.6, 1933, Oct Average, South Africa, ZAF
93.5, 1933, Nov Average, South Africa, ZAF
88.6, 1933, Dec Average, South Africa, ZAF
108.4, 1934, Jan Average, South Africa, ZAF
66.4, 1934, Feb Average, South Africa, ZAF
70.3, 1934, Mar Average, South Africa, ZAF
32.6, 1934, Apr Average, South Africa, ZAF
25.0, 1934, May Average, South Africa, ZAF
7.9, 1934, Jun Average, South Africa, ZAF
21.1, 1934, Jul Average, South Africa, ZAF
14.3, 1934, Aug Average, South Africa, ZAF
11.6, 1934, Sep Average, South Africa, ZAF
47.6, 1934, Oct Average, South Africa, ZAF
87.2, 1934, Nov Average, South Africa, ZAF
70.8, 1934, Dec Average, South Africa, ZAF
36.9, 1935, Jan Average, South Africa, ZAF
52.5, 1935, Feb Average, South Africa, ZAF
59.9, 1935, Mar Average, South Africa, ZAF
37.7, 1935, Apr Average, South Africa, ZAF
41.0, 1935, May Average, South Africa, ZAF
17.1, 1935, Jun Average, South Africa, ZAF
8.1, 1935, Jul Average, South Africa, ZAF
15.1, 1935, Aug Average, South Africa, ZAF
17.4, 1935, Sep Average, South Africa, ZAF
18.4, 1935, Oct Average, South Africa, ZAF
31.9, 1935, Nov Average, South Africa, ZAF
45.6, 1935, Dec Average, South Africa, ZAF
62.2, 1936, Jan Average, South Africa, ZAF
64.5, 1936, Feb Average, South Africa, ZAF
87.1, 1936, Mar Average, South Africa, ZAF
16.3, 1936, Apr Average, South Africa, ZAF
39.1, 1936, May Average, South Africa, ZAF
4.4, 1936, Jun Average, South Africa, ZAF
13.0, 1936, Jul Average, South Africa, ZAF
5.6, 1936, Aug Average, South Africa, ZAF
24.2, 1936, Sep Average, South Africa, ZAF
41.2, 1936, Oct Average, South Africa, ZAF
